LMSD Examples,Input Mass
/resources/tools/chemdb_ontology?abbrev=ST 28:1;O6,509.31210
/resources/tools/chemdb_ontology?abbrev=MG 16:0,365.24634
/resources/tools/chemdb_ontology?abbrev=MG O-16:1;O,365.24634
/resources/tools/chemdb_ontology?abbrev=FA 20:4;O2,335.22313
/resources/tools/chemdb_ontology?abbrev=FA 19:4,335.22313
/resources/tools/chemdb_ontology?abbrev=ST 19:1;O2,335.22313
/resources/tools/chemdb_ontology?abbrev=FA 18:4,335.22313
/resources/tools/chemdb_ontology?abbrev=ST 18:1;O2,335.22313
/resources/tools/chemdb_ontology?abbrev=ST 18:4;O2;GlcA,445.18659
/resources/tools/chemdb_ontology?abbrev=FA 15:0,241.21708
/resources/tools/chemdb_ontology?abbrev=SFE 15:0,241.21708
/resources/tools/chemdb_ontology?abbrev=WE 15:0,241.21708
/resources/tools/chemdb_ontology?abbrev=FA 30:0;O2,241.21708
/resources/tools/chemdb_ontology?abbrev=ST 24:1;O4,391.28567
/resources/tools/chemdb_ontology?abbrev=FA 23:4,391.28567
/resources/tools/chemdb_ontology?abbrev=ST 23:1;O2,391.28567
/resources/tools/chemdb_ontology?abbrev=FA 22:4,391.28567
/resources/tools/chemdb_ontology?abbrev=SFE 22:4,391.28567
/resources/tools/chemdb_ontology?abbrev=FA 20:4;O4,367.21244
/resources/tools/chemdb_ontology?abbrev=ST 19:1;O4,367.21244
/resources/tools/chemdb_ontology?abbrev=FA 18:4;O2,367.21244
/resources/tools/chemdb_ontology?abbrev=FA 18:2;O,295.22782
/resources/tools/chemdb_ontology?abbrev=FA 14:1;O2,257.17582
/resources/tools/chemdb_ontology?abbrev=FA 13:1,257.17582
/resources/tools/chemdb_ontology?abbrev=SFE 13:1,257.17582
/resources/tools/chemdb_ontology?abbrev=FA 12:1,257.17582
/resources/tools/chemdb_ontology?abbrev=SFE 12:1,257.17582
/resources/tools/chemdb_ontology?abbrev=WE 12:1,257.17582
/resources/tools/chemdb_ontology?abbrev=FA 14:0,227.20137
/resources/tools/chemdb_ontology?abbrev=SFE 14:0,227.20137
/resources/tools/chemdb_ontology?abbrev=WE 14:0,227.20137
/resources/tools/chemdb_ontology?abbrev=FA 20:3;O2,337.23874
/resources/tools/chemdb_ontology?abbrev=FA 19:3,337.23874
/resources/tools/chemdb_ontology?abbrev=SFE 19:3,337.23874
/resources/tools/chemdb_ontology?abbrev=ST 19:0;O2,337.23874
/resources/tools/chemdb_ontology?abbrev=FA 18:3,337.23874
/resources/tools/chemdb_ontology?abbrev=SFE 18:3,337.23874
/resources/tools/chemdb_ontology?abbrev=ST 18:0;O2,337.23874
/resources/tools/chemdb_ontology?abbrev=FA 22:4;O2,363.25445
/resources/tools/chemdb_ontology?abbrev=ST 22:1;O4,363.25445
/resources/tools/chemdb_ontology?abbrev=FA 21:4,363.25445
/resources/tools/chemdb_ontology?abbrev=ST 21:1;O2,363.25445
/resources/tools/chemdb_ontology?abbrev=FA 20:4,363.25445
/resources/tools/chemdb_ontology?abbrev=ST 20:1;O2,363.25445
/resources/tools/chemdb_ontology?abbrev=FA 17:4;O,277.18088
/resources/tools/chemdb_ontology?abbrev=FA 16:1;O,269.21234
/resources/tools/chemdb_ontology?abbrev=FA 12:1;O,213.14914
/resources/tools/chemdb_ontology?abbrev=FA 20:5;O3,349.20225
/resources/tools/chemdb_ontology?abbrev=ST 19:2;O3,349.20225
/resources/tools/chemdb_ontology?abbrev=FA 18:5;O,349.20225
/resources/tools/chemdb_ontology?abbrev=ST 20:4;O2,297.18609
/resources/tools/chemdb_ontology?abbrev=FA 22:5;O2,397.21490
/resources/tools/chemdb_ontology?abbrev=SPB 18:0;O3,376.30701
/resources/tools/chemdb_ontology?abbrev=FA 20:7;O,313.18108
/resources/tools/chemdb_ontology?abbrev=LPA 22:6,481.23625
/resources/tools/chemdb_ontology?abbrev=FA 20:2;O2,339.25435
/resources/tools/chemdb_ontology?abbrev=FOH 20:2;O3,339.25435
/resources/tools/chemdb_ontology?abbrev=FA 19:2,339.25435
/resources/tools/chemdb_ontology?abbrev=WE 19:2,339.25435
/resources/tools/chemdb_ontology?abbrev=FA 18:2,339.25435
/resources/tools/chemdb_ontology?abbrev=SFE 18:2,339.25435
/resources/tools/chemdb_ontology?abbrev=WE 18:2,339.25435
/resources/tools/chemdb_ontology?abbrev=MG 20:4;O,393.26510
/resources/tools/chemdb_ontology?abbrev=ST 23:1;O5,393.26510
/resources/tools/chemdb_ontology?abbrev=FA 22:4;O,393.26510
/resources/tools/chemdb_ontology?abbrev=ST 22:1;O3,393.26510
/resources/tools/chemdb_ontology?abbrev=FA 21:4;O,393.26510
/resources/tools/chemdb_ontology?abbrev=ST 21:1;O3,393.26510
/resources/tools/chemdb_ontology?abbrev=FA 19:7;O,299.16541
/resources/tools/chemdb_ontology?abbrev=ST 19:4;O3,299.16541
/resources/tools/chemdb_ontology?abbrev=FA 17:7;O,299.16541
/resources/tools/chemdb_ontology?abbrev=FA 15:5,277.14458
/resources/tools/chemdb_ontology?abbrev=WE 15:5,277.14458
/resources/tools/chemdb_ontology?abbrev=FA 14:5,277.14458
/resources/tools/chemdb_ontology?abbrev=ST 32:7;O8,277.14458
/resources/tools/chemdb_ontology?abbrev=ST 24:2;O4,389.27009
/resources/tools/chemdb_ontology?abbrev=FA 23:5,389.27009
/resources/tools/chemdb_ontology?abbrev=ST 23:2;O2,389.27009
/resources/tools/chemdb_ontology?abbrev=FA 22:5,389.27009
/resources/tools/chemdb_ontology?abbrev=SFE 22:5,389.27009
/resources/tools/chemdb_ontology?abbrev=FA 16:1;O,269.21225
/resources/tools/chemdb_ontology?abbrev=FA 18:0,283.26458
/resources/tools/chemdb_ontology?abbrev=SFE 18:0,283.26458
/resources/tools/chemdb_ontology?abbrev=WE 18:0,283.26458
/resources/tools/chemdb_ontology?abbrev=FA 14:3,221.15429
/resources/tools/chemdb_ontology?abbrev=SFE 14:3,221.15429
/resources/tools/chemdb_ontology?abbrev=FA 18:7,329.17613
/resources/tools/chemdb_ontology?abbrev=ST 18:4;O2,329.17613
/resources/tools/chemdb_ontology?abbrev=SPB 18:1;O3,314.27041
/resources/tools/chemdb_ontology?abbrev=FA 19:2,293.24879
/resources/tools/chemdb_ontology?abbrev=WE 19:2,293.24879
/resources/tools/chemdb_ontology?abbrev=FAHFA 38:3;O,293.24879
/resources/tools/chemdb_ontology?abbrev=NAE 17:0,358.29641
